"VBR","Player","Team","Positions","Opp","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Own"
" ","Erasmo Ramirez","TB","RP","@NYY","0.46","0.34","0.02","0","4.04","1.27","0.21","0.45","0.14","0.09","0","0","0.02","0",""
" ","Alex Wood","LAD","SP,RP","@CHC","0.7","0.64","0.06","0","3.91","1.38","0.3","0.68","0.28","0.08","0","0","0.03","0",""
" ","Justin Grimm","CHC","RP","LAD","0.27","0.32","0.01","0","3.82","1.35","0.11","0.23","0.14","0.04","0","0","0.01","0",""
" ","A.J. Ramos","MIA","RP","NYM","0.41","0.45","0.02","0.2","3.21","1.33","0.15","0.32","0.22","0.04","0","0","0.02","0",""
" ","Josh Edgin","NYM","RP","@MIA","0.11","0.09","0.01","0","4.82","1.47","0.06","0.11","0.05","0.01","0","0","0","0",""
" ","Jimmy Nelson","MIL","SP","@CIN","6.3","5.76","0.25","0","4.42","1.40","3.09","6.25","2.55","1.02","0","0","0.5","0",""
" ","Hyun-Jin Ryu","LAD","SP","@CHC","5","4.06","0.4","0","4.36","1.38","2.42","5.4","1.51","0.72","0","0","0.2","0",""
" ","Xavier Cedeno","TB","RP","@NYY","0.36","0.33","0.01","0.03","3.23","1.28","0.13","0.32","0.14","0.06","0","0","0.01","0",""
" ","Joe Kelly","BOS","SP,RP","PIT","0.38","0.34","0.02","0.02","3.84","1.38","0.16","0.38","0.14","0.03","0","0","0.02","0",""
" ","Chris Rusin","COL","SP,RP","@SF","0.55","0.41","0.03","0","3.19","1.23","0.19","0.51","0.17","0.05","0","0","0.03","0",""
" ","Kevin Gausman","BAL","SP","@TOR","6.31","5.68","0.4","0","4.03","1.30","2.83","6.16","2.05","0.86","0","0","0.25","0",""
" ","Robert Stephenson","CIN","SP","MIL","0.55","0.58","0.02","0","4.95","1.48","0.3","0.51","0.3","0.07","0","0","0.04","0",""
" ","Tom Layne","NYY","RP","TB","0.31","0.29","0.01","0","3.86","1.29","0.13","0.27","0.13","0.04","0","0","0.01","0",""
" ","Rafael Montero","NYM","SP,RP","@MIA","0.3","0.24","0.01","0","5.49","1.73","0.18","0.34","0.18","0.03","0","0","0.02","0",""
" ","Vidal Nuno","BAL","RP","@TOR","0.32","0.25","0.01","0","4.01","1.27","0.14","0.32","0.09","0.06","0","0","0.01","0",""
" ","Hector Rondon","CHC","RP","LAD","0.36","0.38","0.03","0.01","3.28","1.16","0.13","0.3","0.12","0.05","0","0","0.01","0",""
" ","Joshua Fields","LAD","RP","@CHC","0.23","0.28","0.01","0","3.56","1.25","0.09","0.2","0.09","0.02","0","0","0.01","0",""
" ","Blake Parker","LAA","RP","TEX","0.14","0.17","0.01","0","3.40","1.05","0.05","0.11","0.04","0.02","0","0","0.01","0",""
" ","Scott Oberg","COL","RP","@SF","0.23","0.21","0.01","0","3.10","1.26","0.08","0.18","0.1","0.02","0","0","0.01","0",""
" ","C.J. Edwards","CHC","RP","LAD","0.34","0.43","0.01","0","3.42","1.34","0.13","0.22","0.23","0.04","0","0","0.01","0",""
" ","Julio Urias","LAD","SP","@CHC","0.81","0.79","0.06","0","3.85","1.29","0.35","0.75","0.29","0.08","0","0","0.03","0",""
" ","Nick Martinez","TEX","SP,RP","@LAA","0.21","0.12","0.01","0","4.64","1.48","0.11","0.23","0.08","0.03","0","0","0.02","0",""
" ","Ross Stripling","LAD","SP,RP","@CHC","0.38","0.33","0.02","0","4.06","1.29","0.17","0.38","0.11","0.04","0","0","0.02","0",""
" ","Jonathan Gray","COL","SP","@SF","6.14","6.47","0.39","0","2.97","1.20","2.02","5.1","2.24","0.45","0","0","0.25","0",""
" ","Michael Lorenzen","CIN","RP","MIL","0.49","0.52","0.02","0.02","3.56","1.24","0.19","0.44","0.17","0.06","0","0","0.02","0",""
" ","Corey Knebel","MIL","RP","@CIN","0.41","0.49","0.02","0.03","3.23","1.16","0.15","0.32","0.16","0.06","0","0","0.02","0",""
" ","Trevor Williams","PIT","RP","@BOS","0.5","0.39","0.02","0","5.27","1.49","0.29","0.6","0.14","0.08","0","0","0.04","0",""
" ","Rob Zastryzny","CHC","RP","LAD","0.21","0.17","0.01","0","4.02","1.39","0.09","0.2","0.09","0.01","0","0","0.01","0",""
" ","Barrett Astin","CIN","SP,RP","MIL","0.2","0.19","0.01","0","4.16","1.29","0.09","0.19","0.07","0.04","0","0","0.01","0",""
" ","Tyler Duffey","MIN","SP","@DET","0.68","0.52","0.03","0","3.90","1.28","0.29","0.7","0.17","0.1","0","0","0.03","0",""
" ","Dominic Leone","TOR","RP","BAL","0.19","0.17","0.01","0","4.05","1.32","0.09","0.18","0.07","0","0","0","0.01","0",""
" ","Jose Urena","MIA","SP,RP","NYM","0.44","0.32","0.02","0","4.42","1.37","0.22","0.44","0.16","0.05","0","0","0.02","0",""
" ","Ty Blach","SF","P,SP","COL","0.48","0.3","0.02","0","3.99","1.31","0.21","0.51","0.12","0.06","0","0","0.02","0",""
" ","Luis Severino","NYY","SP,RP","TB","5.45","5.38","0.22","0","4.50","1.31","2.72","5.5","1.64","0.94","0","0","0.44","0",""
" ","Yusmeiro Petit","LAA","RP","TEX","0.2","0.19","0.01","0","3.64","1.20","0.08","0.18","0.06","0.04","0","0","0.01","0",""
" ","Neil Ramirez","SF","RP","COL","0.06","0.09","0","0","5.02","1.34","0.03","0.07","0.02","0.01","0","0","0","0",""
" ","Hunter Strickland","SF","RP","COL","0.38","0.38","0.01","0.01","2.64","1.08","0.11","0.31","0.1","0.04","0","0","0.01","0",""
" ","Jose Alvarez","LAA","RP","TEX","0.31","0.29","0.01","0","3.41","1.33","0.12","0.3","0.11","0.04","0","0","0.01","0",""
" ","Carlos Torres","MIL","RP","@CIN","0.4","0.4","0.02","0.02","3.51","1.30","0.16","0.36","0.16","0.07","0","0","0.02","0",""
" ","Ryan Pressly","MIN","RP","@DET","0.4","0.34","0.02","0.03","3.65","1.30","0.16","0.4","0.12","0.05","0","0","0.02","0",""
" ","Michael Tonkin","MIN","RP","@DET","0.27","0.25","0.01","0","3.59","1.30","0.11","0.26","0.09","0.03","0","0","0.01","0",""
" ","Buddy Boshers","MIN","RP","@DET","0.21","0.2","0.01","0","3.51","1.28","0.08","0.2","0.07","0.01","0","0","0.01","0",""
" ","Grant Dayton","LAD","RP","@CHC","0.37","0.44","0.01","0","2.95","1.09","0.12","0.28","0.12","0.05","0","0","0.01","0",""
" ","Tommy Kahnle","CWS","RP","@CLE","0.25","0.28","0.01","0","4.29","1.54","0.12","0.23","0.15","0.02","0","0","0.02","0",""
" ","Dan Otero","CLE","RP","CWS","0.37","0.3","0.01","0","3.43","1.20","0.14","0.37","0.07","0.04","0","0","0.01","0",""
" ","Michael Ynoa","CWS","SP,RP","@CLE","0.33","0.3","0.01","0","4.40","1.49","0.16","0.31","0.19","0.04","0","0","0.01","0",""
" ","Alex Wilson","DET","RP","MIN","0.43","0.32","0.02","0","4.00","1.30","0.19","0.41","0.14","0.05","0","0","0.02","0",""
" ","Shane Greene","DET","SP,RP","MIN","0.36","0.33","0.01","0","4.62","1.45","0.18","0.38","0.13","0.05","0","0","0.01","0",""
" ","Bryan Mitchell","NYY","SP","TB","0.56","0.47","0.02","0","4.46","1.43","0.28","0.55","0.25","0.11","0","0","0.02","0",""
" ","Jesse Hahn","OAK","SP","@KC","6.03","3.65","0.24","0","4.42","1.42","2.96","6.57","2.01","0.53","0","0","0.48","0",""
" ","Felipe Rivero","PIT","RP","@BOS","0.44","0.48","0.02","0.02","3.63","1.25","0.18","0.4","0.15","0.04","0","0","0.02","0",""
" ","Mike Morin","LAA","RP","TEX","0.3","0.28","0.01","0","4.12","1.22","0.14","0.28","0.08","0.04","0","0","0.01","0",""
" ","Chase Whitley","TB","P,RP","@NYY","0.19","0.17","0.01","0","4.18","1.34","0.09","0.19","0.07","0.04","0","0","0.01","0",""
" ","Kyle Crockett","CLE","RP","CWS","0.09","0.09","0","0","4.28","1.42","0.04","0.09","0.04","0.01","0","0","0","0",""
" ","Cameron Bedrosian","LAA","RP","TEX","0.37","0.44","0.01","0.14","2.76","1.24","0.11","0.31","0.15","0.04","0","0","0.01","0",""
" ","Eddie Butler","CHC","SP,RP","LAD","0.26","0.17","0.01","0","5.27","1.59","0.15","0.29","0.12","0.05","0","0","0.02","0",""
" ","Jose Diaz","TB","RP","@NYY","0.25","0.21","0.01","0","3.87","1.25","0.11","0.22","0.09","0.03","0","0","0.02","0",""
" ","Carlos Frias","CLE","RP","CWS","0.12","0.1","0","0","4.09","1.33","0.05","0.13","0.03","0.01","0","0","0","0",""
" ","Alexander Claudio","TEX","RP","@LAA","0.34","0.21","0.01","0","3.10","1.27","0.12","0.33","0.1","0.04","0","0","0.01","0",""
" ","Kyle Ryan","DET","RP","MIN","0.31","0.21","0.01","0","4.13","1.39","0.14","0.31","0.13","0.04","0","0","0.01","0",""
" ","Dan Coulombe","OAK","RP","@KC","0.29","0.28","0.01","0","4.00","1.36","0.13","0.29","0.11","0.03","0","0","0.01","0",""
" ","Raisel Iglesias","CIN","SP,RP","MIL","0.46","0.55","0.02","0.16","3.09","1.11","0.16","0.36","0.15","0.06","0","0","0.02","0",""
" ","Ryan Tepera","TOR","RP","BAL","0.22","0.19","0.01","0","3.76","1.12","0.09","0.18","0.07","0.04","0","0","0.01","0",""
" ","Shawn Armstrong","CLE","RP","CWS","0.15","0.17","0.01","0","5.05","1.48","0.08","0.14","0.08","0.02","0","0","0.01","0",""
" ","Matt Andriese","TB","SP,RP","@NYY","5.86","4.86","0.47","0","4.25","1.30","2.76","6.09","1.54","1","0","0","0.23","0",""
" ","A.J. Schugel","PIT","RP","@BOS","0.26","0.23","0.01","0","4.18","1.29","0.12","0.26","0.07","0.02","0","0","0.01","0",""
" ","Derek Law","SF","RP","COL","0.33","0.3","0.01","0.01","3.31","1.22","0.12","0.32","0.09","0.04","0","0","0.01","0",""
" ","Hansel Robles","NYM","RP","@MIA","0.4","0.37","0.02","0","4.12","1.38","0.18","0.36","0.18","0.03","0","0","0.02","0",""
" ","Logan Verrett","BAL","SP,RP","@TOR","0.29","0.19","0.01","0","5.13","1.45","0.17","0.3","0.12","0.02","0","0","0.01","0",""
" ","Mychal Antonio Givens","BAL","RP","@TOR","0.4","0.45","0.03","0.02","3.12","1.26","0.14","0.32","0.17","0.05","0","0","0.02","0",""
" ","Roberto Osuna","TOR","RP","BAL","0.37","0.43","0.02","0.2","3.23","1.05","0.13","0.3","0.09","0.06","0","0","0.02","0",""
" ","Keone Kela","TEX","RP","@LAA","0.32","0.33","0.01","0","3.19","1.26","0.11","0.26","0.14","0.03","0","0","0.01","0",""
" ","Tyler Wilson","BAL","SP,RP","@TOR","0.56","0.34","0.02","0","4.92","1.41","0.31","0.62","0.16","0.1","0","0","0.05","0",""
" ","Nick Goody","NYY","RP","TB","0.08","0.11","0","0","4.75","1.40","0.04","0.08","0.03","0.03","0","0","0","0",""
" ","Brian Ellington","MIA","RP","NYM","0.2","0.21","0.01","0","4.07","1.43","0.09","0.17","0.12","0.02","0","0","0.01","0",""
" ","Kyle Barraclough","MIA","RP","NYM","0.42","0.57","0.02","0.03","2.98","1.33","0.14","0.3","0.26","0.04","0","0","0.02","0",""
" ","Scott Alexander","KC","RP","OAK","0.24","0.17","0.01","0","3.86","1.36","0.1","0.23","0.1","0.02","0","0","0.01","0",""
" ","Ryan Dull","OAK","RP","@KC","0.36","0.34","0.01","0.01","3.96","1.14","0.16","0.32","0.08","0.04","0","0","0.01","0",""
" ","Joshua Smoker","NYM","RP","@MIA","0.24","0.27","0.02","0","4.11","1.46","0.11","0.24","0.11","0.02","0","0","0.01","0",""
" ","Jacob Barnes","MIL","RP","@CIN","0.3","0.32","0.01","0","3.28","1.24","0.11","0.27","0.11","0.04","0","0","0.01","0",""
" ","Robert Gsellman","NYM","SP","@MIA","6.04","4.53","0.48","0","4.18","1.41","2.81","6.62","1.92","0.4","0","0","0.24","0",""
" ","Taylor Rogers","MIN","RP","@DET","0.34","0.31","0.01","0","3.60","1.32","0.14","0.36","0.09","0.04","0","0","0.01","0",""
" ","Carlos Estevez","COL","RP","@SF","0.31","0.33","0.01","0.01","3.04","1.26","0.1","0.25","0.14","0.03","0","0","0.01","0",""
" ","Nick Wittgren","MIA","RP","NYM","0.23","0.2","0.01","0","4.03","1.32","0.1","0.23","0.08","0.04","0","0","0.01","0",""
" ","Joe Biagini","TOR","RP","BAL","0.42","0.35","0.02","0","3.40","1.26","0.16","0.4","0.13","0.06","0","0","0.02","0",""
" ","Tony Barnette","TEX","RP","@LAA","0.37","0.28","0.03","0","3.15","1.23","0.13","0.34","0.11","0.04","0","0","0.01","0",""
" ","Joe Jimenez","DET","RP","MIN","0.4","0.45","0.03","0","3.91","1.28","0.17","0.35","0.17","0.05","0","0","0.01","0",""
" ","Timothy Adleman","CIN","SP","MIL","0.37","0.32","0.01","0","4.58","1.36","0.19","0.38","0.12","0.06","0","0","0.03","0",""
" ","Hunter Cervenka","MIA","RP","NYM","0.18","0.18","0.01","0","3.97","1.46","0.08","0.16","0.11","0.01","0","0","0.01","0",""
" ","Daniel Wright","LAA","SP,RP","TEX","0.39","0.27","0.02","0","4.69","1.35","0.2","0.41","0.12","0.05","0","0","0.03","0",""
" ","Ryan Garton","TB","RP","@NYY","0.23","0.2","0.01","0","4.06","1.43","0.1","0.23","0.1","0.03","0","0","0.01","0",""
" ","Chad Kuhl","PIT","SP","@BOS","5.52","4.16","0.44","0","4.56","1.41","2.8","6.09","1.66","0.64","0","0","0.44","0",""
" ","Steven Brault","PIT","SP","@BOS","0.4","0.39","0.03","0","4.76","1.48","0.21","0.43","0.16","0.03","0","0","0.02","0",""
" ","Donnie Hart","BAL","RP","@TOR","0.22","0.17","0.02","0","3.31","1.30","0.08","0.21","0.08","0.03","0","0","0.01","0",""
" ","Ben Heller","NYY","RP","TB","0.16","0.18","0.01","0","4.19","1.27","0.07","0.14","0.06","0.03","0","0","0.01","0",""
" ","Jonathan Holder","NYY","RP","TB","0.2","0.22","0.01","0","3.95","1.38","0.09","0.21","0.06","0.04","0","0","0.01","0",""
" ","Wandy Peralta","CIN","RP","MIL","0.25","0.24","0.01","0","4.35","1.37","0.12","0.23","0.11","0.04","0","0","0.01","0",""
" ","Sandy Baez","DET","SP,RP","MIN","0.12","0.06","0","0","6.17","1.64","0.08","0.14","0.06","0.03","0","0","0.01","0",""
" ","Austin Pruitt","TB","SP,RP","@NYY","0.08","0.06","0","0","7.33","1.97","0.07","0.12","0.03","0.03","0","0","0","0",""
" ","Jake Junis","KC","SP,RP","OAK","0.14","0.11","0.01","0","4.83","1.48","0.08","0.15","0.06","0.02","0","0","0.01","0",""
""
""