"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Actual","ValueWR"
"WR","Antonio Brown (7451829)","Antonio Brown",7451829,9600,"Pit@Phi 04:25PM ET","Pit","Antonio","Brown","Phi",27.75,25.2,24.4,25.2,1,0.295774647887324,24.9863163446285,26.1814733585514,0,29,0
"WR","Odell Beckham Jr. (7451720)","Odell Beckham",7451720,9100,"Was@NYG 01:00PM ET","NYG","Odell","Beckham","Was",21.5,19.7,20.24,19.7,1,0.301369863013699,19.4465935967394,20.3299022228064,0,22.1,0
"WR","Dez Bryant (7451840)","Dez Bryant",7451840,8400,"Chi@Dal 08:30PM ET","Dal","Dez","Bryant","Chi",17.84,17.1,16.89,17.1,2,0.233766233766234,16.5128900468009,17.0627976244781,0,13,0
"WR","A.J. Green (7451765)","A.J. Green",7451765,8100,"Den@Cin 01:00PM ET","Cin","A.J.","Green","Den",18.56,18,16.66,18,1,0.252873563218391,17.2842481233088,17.8053762324195,0,15.7,0
"WR","Alshon Jeffery (7451844)","Alshon Jeffery",7451844,8000,"Chi@Dal 08:30PM ET","Chi","Alshon","Jeffery","Dal",15.71,19.3,17.8,19.3,1,0.23728813559322,16.6618774809836,16.1158989487934,0,12,0
"QB","Cam Newton (7451539)","Cam Newton",7451539,7800,"Min@Car 01:00PM ET","Car","Cam","Newton","Min",22.49,22.4,21.21,22.4,0,0,21.2383622219395,21.7268806509331,1,16.1,0
"RB","David Johnson (7451579)","David Johnson",7451579,7700,"Ari@Buf 01:00PM ET","Ari","David","Johnson","Buf",21.69,19,18.15,19,3,0.148648648648649,19.181459710945,20.2848778754103,0,26.1,0
"WR","Amari Cooper (7451710)","Amari Cooper",7451710,7700,"Oak@Ten 01:00PM ET","Oak","Amari","Cooper","Ten",17.5,16.8,16.46,16.8,1,0.264367816091954,16.2111291833219,16.7442665162158,0,10.2,0
"QB","Aaron Rodgers (7451525)","Aaron Rodgers",7451525,7700,"Det@GB 01:00PM ET","GB","Aaron","Rodgers","Det",22.4,22.8,21.92,22.8,0,0,21.3981578646843,21.7657954747737,1,26.4,0
"QB","Andrew Luck (7451561)","Andrew Luck",7451561,7600,"SD@Ind 04:25PM ET","Ind","Andrew","Luck","SD",23.27,21.9,21.25,21.9,0,0,21.3365997120008,22.1521948661136,1,18.2,0
"WR","Allen Robinson (7451748)","Allen Robinson",7451748,7500,"Bal@Jax 01:00PM ET","Jax","Allen","Robinson","Bal",19.46,17.1,17.63,17.1,1,0.238636363636364,17.2360824220182,18.213077095444,0,24.7,0
"RB","DeAngelo Williams (7451675)","DeAngelo Williams",7451675,7500,"Pit@Phi 04:25PM ET","Pit","DeAngelo","Williams","Phi",21.47,20.3,20.62,20.3,2,0.197183098591549,19.7331606407318,20.4628296094633,0,8.4,0
"WR","Jordy Nelson (7451751)","Jordy Nelson",7451751,7400,"Det@GB 01:00PM ET","GB","Jordy","Nelson","Det",19.74,18.3,15.44,18.3,1,0.272727272727273,17.9609976257894,18.7203485478493,0,31.1,0
"WR","Randall Cobb (7451755)","Randall Cobb",7451755,7300,"Det@GB 01:00PM ET","GB","Randall","Cobb","Det",14.96,15.3,14.15,15.3,2,0.233766233766234,14.3273362269253,14.5551697677368,0,4.3,0
"RB","C.J. Anderson (7451627)","C.J. Anderson",7451627,7300,"Den@Cin 01:00PM ET","Den","C.J.","Anderson","Cin",18.63,16,16.16,16,3,0.166666666666667,16.3156321919412,17.3409834718787,0,5.1,0
"WR","Brandon Marshall (7451807)","Brandon Marshall",7451807,7300,"NYJ@KC 04:25PM ET","NYJ","Brandon","Marshall","KC",14.49,11.2,15.27,11.2,1,0.273972602739726,12.0677979366365,13.167549512679,0,5.7,0
"QB","Ben Roethlisberger (7451562)","Ben Roethlisberger",7451562,7300,"Pit@Phi 04:25PM ET","Pit","Ben","Roethlisberger","Phi",20.42,21.7,22.02,21.7,0,0,19.9643303312123,20.0771454366339,1,9,0
"QB","Carson Palmer (7451499)","Carson Palmer",7451499,7200,"Ari@Buf 01:00PM ET","Ari","Carson","Palmer","Buf",21.26,18.3,20.14,18.3,0,0,18.6395484963637,19.7996231132,1,7.5,0
"WR","Kelvin Benjamin (7451779)","Kelvin Benjamin",7451779,7200,"Min@Car 01:00PM ET","Car","Kelvin","Benjamin","Min",17.96,15.2,16.17,15.2,1,0.283783783783784,15.6165881169857,16.6596121264685,0,0,0
"RB","Todd Gurley (7451645)","Todd Gurley",7451645,7100,"LA@TB 04:05PM ET","LA","Todd","Gurley","TB",13.55,17.1,15.7,17.1,6,0.046875,14.5977694976143,14.0166871735871,0,21,0
"QB","Russell Wilson (7451548)","Russell Wilson",7451548,7100,"SF@Sea 04:05PM ET","Sea","Russell","Wilson","SF",19.27,25.3,19.42,25.3,10,0,21.2507100001292,20.185962172108,1,14,0
"WR","Jordan Matthews (7451831)","Jordan Matthews",7451831,7100,"Pit@Phi 04:25PM ET","Phi","Jordan","Matthews","Pit",15.8,17.7,14.93,17.7,1,0.333333333333333,15.9021628474681,15.76852640827,0,9.9,0
"QB","Eli Manning (7451509)","Eli Manning",7451509,7000,"Was@NYG 01:00PM ET","NYG","Eli","Manning","Was",18.46,18.5,19.28,18.5,0,0,17.4895728648202,17.8628953754222,1,19,0
"WR","Mike Evans (7451791)","Mike Evans",7451791,7000,"LA@TB 04:05PM ET","TB","Mike","Evans","LA",17.62,18.5,15.68,18.5,1,0.30379746835443,17.1145842258186,17.2664541682547,0,32.2,0
"RB","Matt Forte (7451656)","Matt Forte",7451656,7000,"NYJ@KC 04:25PM ET","NYJ","Matt","Forte","KC",16.92,16.4,15.94,16.4,4,0.136986301369863,15.7522354594687,16.2296188247535,0,8.4,0
"WR","Larry Fitzgerald (7451692)","Larry Fitzgerald",7451692,6900,"Ari@Buf 01:00PM ET","Ari","Larry","Fitzgerald","Buf",18.99,16.2,16.24,16.2,1,0.27027027027027,16.5763281071179,17.6480107515405,0,13,0
"QB","Derek Carr (7451506)","Derek Carr",7451506,6900,"Oak@Ten 01:00PM ET","Oak","Derek","Carr","Ten",20.9,20.7,18.26,20.7,0,0,19.67867706119,20.1609208863511,1,12.9,0
"WR","Eric Decker (7451808)","Eric Decker",7451808,6900,"NYJ@KC 04:25PM ET","NYJ","Eric","Decker","KC",15.75,14.3,15.32,14.3,2,0.205479452054795,14.1800716212964,14.859060424861,0,4.1,0
"RB","Ezekiel Elliott (7451690)","Ezekiel Elliott",7451690,6900,"Chi@Dal 08:30PM ET","Dal","Ezekiel","Elliott","Chi",17.11,15.7,16.81,15.7,5,0.051948051948052,15.4871015736742,16.1845944773573,0,21,0
"QB","Matthew Stafford (7451526)","Matthew Stafford",7451526,6800,"Det@GB 01:00PM ET","Det","Matthew","Stafford","GB",19.08,17.8,18.79,17.8,0,0,17.4163974489909,18.1231921221713,1,30.5,0
"WR","T.Y. Hilton (7451821)","T.Y. Hilton",7451821,6800,"SD@Ind 04:25PM ET","Ind","T.Y.","Hilton","SD",19.22,19.3,16.55,19.3,1,0.284090909090909,18.2287942939544,18.6081711358861,0,34.4,0
"RB","Adrian Peterson (7451631)","Adrian Peterson",7451631,6700,"Min@Car 01:00PM ET","Min","Adrian","Peterson","Car",0,0,0,0,5,0.0757575757575758,0,0,0,0,0
"QB","Philip Rivers (7451559)","Philip Rivers",7451559,6700,"SD@Ind 04:25PM ET","SD","Philip","Rivers","Ind",19.37,20,20.95,20,0,0,18.6457092955352,18.8946121623739,1,15.4,0
"WR","Donte Moncrief (7451825)","Donte Moncrief",7451825,6700,"SD@Ind 04:25PM ET","Ind","Donte","Moncrief","SD",0,0,0,0,3,0.113636363636364,0,0,0,0,0
"WR","Jarvis Landry (7451730)","Jarvis Landry",7451730,6600,"Cle@Mia 01:00PM ET","Mia","Jarvis","Landry","Cle",18.74,19,16.25,19,1,0.319444444444444,17.8645353239752,18.1902331597626,0,29.6,0
"RB","LeSean McCoy (7451575)","LeSean McCoy",7451575,6500,"Ari@Buf 01:00PM ET","Buf","LeSean","McCoy","Ari",15.37,15.5,13.92,15.5,3,0.173076923076923,14.6103528944235,14.8976995002061,0,29.6,0
"TE","Jordan Reed (7451866)","Jordan Reed",7451866,6500,"Was@NYG 01:00PM ET","Was","Jordan","Reed","NYG",19.94,15.9,13.2,15.9,1,0.197674418604651,16.8504426535342,18.245442925714,0,9.6,0
"QB","Blake Bortles (7451522)","Blake Bortles",7451522,6500,"Bal@Jax 01:00PM ET","Jax","Blake","Bortles","Bal",19.97,19.9,19.94,19.9,0,0,18.8635650741626,19.2949367863414,1,14.5,0
"QB","Kirk Cousins (7451512)","Kirk Cousins",7451512,6400,"Was@NYG 01:00PM ET","Was","Kirk","Cousins","NYG",17.69,20.1,16.88,20.1,0,0,17.945725266763,17.7274345577625,0,19.3,0
"WR","Demaryius Thomas (7451764)","Demaryius Thomas",7451764,6400,"Den@Cin 01:00PM ET","Den","Demaryius","Thomas","Cin",12.92,14.8,14.32,14.8,1,0.266666666666667,13.1666832860527,12.9781456445693,0,24,0
"RB","DeMarco Murray (7451581)","DeMarco Murray",7451581,6300,"Oak@Ten 01:00PM ET","Ten","DeMarco","Murray","Oak",15.85,14.6,14.52,14.6,2,0.186666666666667,14.3746928736321,15.0071797596468,0,29.5,0
"WR","Doug Baldwin (7451798)","Doug Baldwin",7451798,6300,"SF@Sea 04:05PM ET","Sea","Doug","Baldwin","SF",17.26,17.5,13.69,17.5,1,0.253333333333333,16.4539423167948,16.7537884108044,0,33,0
"QB","Ryan Tannehill (7451517)","Ryan Tannehill",7451517,6200,"Cle@Mia 01:00PM ET","Mia","Ryan","Tannehill","Cle",19.39,21.3,18.42,21.3,0,0,19.3045498364654,19.2429756699033,1,25,0
"WR","Marvin Jones Jr. (7451754)","Marvin Jones",7451754,6200,"Det@GB 01:00PM ET","Det","Marvin","Jones","GB",15.77,18.4,15.15,18.4,1,0.27710843373494,16.2387231406914,15.9271586046504,0,41.5,0
"WR","Sammy Watkins (7451702)","Sammy Watkins",7451702,6100,"Ari@Buf 01:00PM ET","Buf","Sammy","Watkins","Ari",0,0,0,0,1,0.192307692307692,0,0,0,0,0
"QB","Joe Flacco (7451519)","Joe Flacco",7451519,6100,"Bal@Jax 01:00PM ET","Bal","Joe","Flacco","Jax",17.63,18.2,17.79,18.2,0,0,16.9690686285903,17.1964402296455,1,13.8,0
"RB","Eddie Lacy (7451617)","Eddie Lacy",7451617,6100,"Det@GB 01:00PM ET","GB","Eddie","Lacy","Det",13.21,13.3,14.09,13.3,6,0.038961038961039,12.5462449110542,12.7984877249998,0,14.5,0
"WR","Michael Crabtree (7451705)","Michael Crabtree",7451705,6000,"Oak@Ten 01:00PM ET","Oak","Michael","Crabtree","Ten",14.09,14.4,14.44,14.4,2,0.172413793103448,13.4890158934528,13.7060838013726,0,21.2,0
"WR","Emmanuel Sanders (7451763)","Emmanuel Sanders",7451763,6000,"Den@Cin 01:00PM ET","Den","Emmanuel","Sanders","Cin",12.48,12.2,13.21,12.2,2,0.233333333333333,11.6704361856202,11.9973990070497,0,35.7,0
"QB","Jameis Winston (7451544)","Jameis Winston",7451544,6000,"LA@TB 04:05PM ET","TB","Jameis","Winston","LA",18.3,18.2,17.88,18.2,0,0,17.2681667096987,17.6721730972672,1,30.5,0
"WR","Jeremy Maclin (7451809)","Jeremy Maclin",7451809,6000,"NYJ@KC 04:25PM ET","KC","Jeremy","Maclin","NYJ",14.78,14.9,15.24,14.9,1,0.265060240963855,14.0470085216442,14.3245416987352,0,7.5,0
"QB","Tony Romo (7451568)","Tony Romo",7451568,6000,"Chi@Dal 08:30PM ET","Dal","Tony","Romo","Chi",0,0,0,0,0,0,0,0,1,0,0
"QB","Marcus Mariota (7451508)","Marcus Mariota",7451508,5900,"Oak@Ten 01:00PM ET","Ten","Marcus","Mariota","Oak",18.45,17.2,17.93,17.2,0,0,16.8351964743544,17.5216323584543,1,7.8,0
"WR","DeSean Jackson (7451715)","DeSean Jackson",7451715,5900,"Was@NYG 01:00PM ET","Was","DeSean","Jackson","NYG",13.85,13,12.2,13,1,0.197674418604651,12.681970793077,13.1758046917662,0,20.6,0
"WR","Golden Tate (7451753)","Golden Tate",7451753,5900,"Det@GB 01:00PM ET","Det","Golden","Tate","GB",12.48,13.4,12.3,13.4,2,0.228915662650602,12.2703551763909,12.3058567237325,0,7.2,0
"QB","Ryan Fitzpatrick (7451551)","Ryan Fitzpatrick",7451551,5900,"NYJ@KC 04:25PM ET","NYJ","Ryan","Fitzpatrick","KC",16.42,18.5,18.57,18.5,0,0,16.5788861701021,16.4143953008726,1,3.7,0
"QB","Tyrod Taylor (7451501)","Tyrod Taylor",7451501,5800,"Ari@Buf 01:00PM ET","Buf","Tyrod","Taylor","Ari",16.86,16.8,16.93,16.8,0,0,15.9254235536064,16.2898351202787,1,17.4,0
"WR","Michael Floyd (7451695)","Michael Floyd",7451695,5800,"Ari@Buf 01:00PM ET","Ari","Michael","Floyd","Buf",13.31,12,12.78,12,2,0.189189189189189,11.9409741756957,12.5353301042085,0,10.5,0
"TE","Greg Olsen (7451898)","Greg Olsen",7451898,5800,"Min@Car 01:00PM ET","Car","Greg","Olsen","Min",15.99,13.1,14.27,13.1,2,0.243243243243243,13.6872922416691,14.7210144816545,0,12.4,0
"QB","Alex Smith (7451552)","Alex Smith",7451552,5800,"NYJ@KC 04:25PM ET","KC","Alex","Smith","NYJ",16.38,15.5,15.51,15.5,9,0.0120481927710843,15.0612320913182,15.6148490469194,1,13.2,0
"RB","Melvin Gordon (7451671)","Melvin Gordon",7451671,5800,"SD@Ind 04:25PM ET","SD","Melvin","Gordon","Ind",17.72,16.8,15.58,16.8,7,0.0454545454545455,16.3093404935366,16.9004773085692,0,17.8,0
"RB","Ryan Mathews (7451676)","Ryan Mathews",7451676,5800,"Pit@Phi 04:25PM ET","Phi","Ryan","Mathews","Pit",12.4,11.5,13.1,11.5,8,0.0144927536231884,11.2847702372896,11.7606614144926,0,-0.5,0
"RB","Latavius Murray (7451583)","Latavius Murray",7451583,5700,"Oak@Ten 01:00PM ET","Oak","Latavius","Murray","Ten",15.52,12.4,14.08,12.4,5,0.0919540229885057,13.1275244252305,14.2073577571982,0,10.8,0
"QB","Andy Dalton (7451529)","Andy Dalton",7451529,5700,"Den@Cin 01:00PM ET","Cin","Andy","Dalton","Den",18.06,16.2,17.34,16.2,0,0,16.1611621139376,16.9876651293194,1,11.2,0
"RB","Doug Martin (7451640)","Doug Martin",7451640,5700,"LA@TB 04:05PM ET","TB","Doug","Martin","LA",0,0,0,0,6,0.0632911392405063,0,0,0,0,0
"RB","Spencer Ware (7451661)","Spencer Ware",7451661,5700,"NYJ@KC 04:25PM ET","KC","Spencer","Ware","NYJ",12.84,11.1,13.19,11.1,3,0.132530120481928,11.2812198607954,11.970263760305,0,8.3,0
"QB","Dak Prescott (7451571)","Dak Prescott",7451571,5700,"Chi@Dal 08:30PM ET","Dal","Dak","Prescott","Chi",17.62,17.7,17.94,17.7,0,0,16.7146382319715,17.0608156904662,1,23.5,0
"QB","Josh McCown (7451515)","Josh McCown",7451515,5600,"Cle@Mia 01:00PM ET","Cle","Josh","McCown","Mia",0,0,0,0,0,0,0,0,1,0,0
"RB","T.J. Yeldon (7451614)","T.J. Yeldon",7451614,5600,"Bal@Jax 01:00PM ET","Jax","T.J.","Yeldon","Bal",11.48,9.7,10.65,9.7,2,0.181818181818182,9.97418990841759,10.6447297078087,0,4.8,0
"RB","Jamaal Charles (7451657)","Jamaal Charles",7451657,5600,"NYJ@KC 04:25PM ET","KC","Jamaal","Charles","NYJ",0,9.1,0,9.1,11,0,4.54938568001081,2.33913768484495,0,0,0
"QB","Jay Cutler (7451567)","Jay Cutler",7451567,5600,"Chi@Dal 08:30PM ET","Chi","Jay","Cutler","Dal",0,0,14.16,0,0,0,0,0,1,0,0
"WR","Sterling Shepard (7451724)","Sterling Shepard",7451724,5500,"Was@NYG 01:00PM ET","NYG","Sterling","Shepard","Was",14.79,12,13.12,12,2,0.164383561643836,12.6016684444128,13.5862027073131,0,18.3,0
"RB","Arian Foster (7451598)","Arian Foster",7451598,5500,"Cle@Mia 01:00PM ET","Mia","Arian","Foster","Cle",0,0,0,0,5,0.0694444444444444,0,0,0,0,0
"RB","Thomas Rawls (7451652)","Thomas Rawls",7451652,5500,"SF@Sea 04:05PM ET","Sea","Thomas","Rawls","SF",0,0,0,0,5,0.08,0,0,0,0,0
"QB","Carson Wentz (7451566)","Carson Wentz",7451566,5500,"Pit@Phi 04:25PM ET","Phi","Carson","Wentz","Pit",17.23,16.6,18.18,16.6,0,0,15.9906106223239,16.5011436516077,1,24,0
"RB","Danny Woodhead (7451666)","Danny Woodhead",7451666,5400,"SD@Ind 04:25PM ET","SD","Danny","Woodhead","Ind",0,0,0,0,3,0.136363636363636,0,0,0,0,0
"WR","Corey Coleman (7451735)","Corey Coleman",7451735,5300,"Cle@Mia 01:00PM ET","Cle","Corey","Coleman","Mia",0,0,0,0,2,0.2,0,0,0,0,0
"QB","Sam Bradford (7451538)","Sam Bradford",7451538,5300,"Min@Car 01:00PM ET","Min","Sam","Bradford","Car",15.09,13.3,14.9,13.3,9,0,13.3855051983434,14.1333799505651,1,10.6,0
"WR","Allen Hurns (7451744)","Allen Hurns",7451744,5200,"Bal@Jax 01:00PM ET","Jax","Allen","Hurns","Bal",12.82,12.4,12.23,12.4,3,0.170454545454545,11.9222037998684,12.2902253055884,0,8,0
"WR","Travis Benjamin (7451820)","Travis Benjamin",7451820,5200,"SD@Ind 04:25PM ET","SD","Travis","Benjamin","Ind",15.51,17.6,15.57,17.6,1,0.227272727272727,15.7227092347724,15.5369073722624,0,11.2,0
"RB","Jeremy Langford (7451685)","Jeremy Langford",7451685,5200,"Chi@Dal 08:30PM ET","Chi","Jeremy","Langford","Dal",11.41,13.6,12.95,13.6,5,0.11864406779661,11.8926775751721,11.5975138530973,0,6.6,0
"RB","Rashad Jennings (7451590)","Rashad Jennings",7451590,5100,"Was@NYG 01:00PM ET","NYG","Rashad","Jennings","Was",0,0,0,0,7,0.0547945205479452,0,0,0,0,0
"QB","Trevor Siemian (7451532)","Trevor Siemian",7451532,5100,"Den@Cin 01:00PM ET","Den","Trevor","Siemian","Cin",11.23,11.1,13.27,11.1,0,0,10.5624916360424,10.8270847799007,1,32,0
"WR","Stefon Diggs (7451781)","Stefon Diggs",7451781,5100,"Min@Car 01:00PM ET","Min","Stefon","Diggs","Car",16.24,15.7,14.83,15.7,1,0.318181818181818,15.0987204832798,15.5668517985053,0,8,0
"QB","Drew Stanton (7451500)","Drew Stanton",7451500,5000,"Ari@Buf 01:00PM ET","Ari","Drew","Stanton","Buf",0,0,0,0,0,0,0,0,1,0,0
"QB","EJ Manuel (7451502)","EJ Manuel",7451502,5000,"Ari@Buf 01:00PM ET","Buf","EJ","Manuel","Ari",0,0,0,0,0,0,0,0,1,0,0
"QB","Cardale Jones (7451503)","Cardale Jones",7451503,5000,"Ari@Buf 01:00PM ET","Buf","Cardale","Jones","Ari",0,0,0,0,0,0,0,0,1,0,0
"QB","Matt Cassel (7451504)","Matt Cassel",7451504,5000,"Oak@Ten 01:00PM ET","Ten","Matt","Cassel","Oak",0,0,0,0,0,0,0,0,1,0,0
"QB","Matt McGloin (7451505)","Matt McGloin",7451505,5000,"Oak@Ten 01:00PM ET","Oak","Matt","McGloin","Ten",0,0,0,0,0,0,0,0,1,0,0
"QB","Connor Cook (7451507)","Connor Cook",7451507,5000,"Oak@Ten 01:00PM ET","Oak","Connor","Cook","Ten",0,0,0,0,0,0,0,0,1,0,0
"TE","Delanie Walker (7451856)","Delanie Walker",7451856,5000,"Oak@Ten 01:00PM ET","Ten","Delanie","Walker","Oak",0,0,0,0,3,0.146666666666667,0,0,0,0,0
"QB","Josh Johnson (7451510)","Josh Johnson",7451510,5000,"Was@NYG 01:00PM ET","NYG","Josh","Johnson","Was",0,0,0,0,0,0,0,0,1,0,0
"QB","Colt McCoy (7451511)","Colt McCoy",7451511,5000,"Was@NYG 01:00PM ET","Was","Colt","McCoy","NYG",0,0,0,0,0,0,0,0,1,0,0
"QB","Ryan Nassib (7451513)","Ryan Nassib",7451513,5000,"Was@NYG 01:00PM ET","NYG","Ryan","Nassib","Was",0,0,0,0,0,0,0,0,1,0,0
"QB","Nate Sudfeld (7451514)","Nate Sudfeld",7451514,5000,"Was@NYG 01:00PM ET","Was","Nate","Sudfeld","NYG",0,0,0,0,0,0,0,0,1,0,0
"QB","Matt Moore (7451516)","Matt Moore",7451516,5000,"Cle@Mia 01:00PM ET","Mia","Matt","Moore","Cle",0,0,0,0,0,0,0,0,1,0,0
"QB","Cody Kessler (7451518)","Cody Kessler",7451518,5000,"Cle@Mia 01:00PM ET","Cle","Cody","Kessler","Mia",11.67,14.4,12.28,14.4,0,0,12.4086914810911,11.9877650854853,1,10.7,0
"QB","Chad Henne (7451520)","Chad Henne",7451520,5000,"Bal@Jax 01:00PM ET","Jax","Chad","Henne","Bal",0,0,0,0,0,0,0,0,1,0,0
"QB","Ryan Mallett (7451521)","Ryan Mallett",7451521,5000,"Bal@Jax 01:00PM ET","Bal","Ryan","Mallett","Jax",0,0,0,0,0,0,0,0,1,0,0
"QB","Brandon Allen (7451523)","Brandon Allen",7451523,5000,"Bal@Jax 01:00PM ET","Jax","Brandon","Allen","Bal",0,0,0,0,0,0,0,0,1,0,0
"WR","Mike Wallace (7451741)","Mike Wallace",7451741,5000,"Bal@Jax 01:00PM ET","Bal","Mike","Wallace","Jax",13.34,15.75,12.38,10.5,3,0.180555555555556,11.2044678886253,12.1710594300395,0,6.9,1
"QB","Dan Orlovsky (7451524)","Dan Orlovsky",7451524,5000,"Det@GB 01:00PM ET","Det","Dan","Orlovsky","GB",0,0,0,0,0,0,0,0,1,0,0
"QB","Brett Hundley (7451527)","Brett Hundley",7451527,5000,"Det@GB 01:00PM ET","GB","Brett","Hundley","Det",0,0,0,0,0,0,0,0,1,0,0
"QB","Joe Callahan (7451528)","Joe Callahan",7451528,5000,"Det@GB 01:00PM ET","GB","Joe","Callahan","Det",0,0,0,0,0,0,0,0,1,0,0
"QB","Austin Davis (7451530)","Austin Davis",7451530,5000,"Den@Cin 01:00PM ET","Den","Austin","Davis","Cin",0,0,0,0,0,0,0,0,1,0,0
"QB","AJ McCarron (7451531)","AJ McCarron",7451531,5000,"Den@Cin 01:00PM ET","Cin","AJ","McCarron","Den",0,0,0,0,0,0,0,0,1,0,0
"QB","Jeff Driskel (7451533)","Jeff Driskel",7451533,5000,"Den@Cin 01:00PM ET","Cin","Jeff","Driskel","Den",0,0,0,0,0,0,0,0,1,0,0
"QB","Paxton Lynch (7451534)","Paxton Lynch",7451534,5000,"Den@Cin 01:00PM ET","Den","Paxton","Lynch","Cin",0,0,0,0,0,0,0,0,1,0,0
"QB","Derek Anderson (7451535)","Derek Anderson",7451535,5000,"Min@Car 01:00PM ET","Car","Derek","Anderson","Min",0,0,0,0,0,0,0,0,1,0.1,0
"QB","Shaun Hill (7451536)","Shaun Hill",7451536,5000,"Min@Car 01:00PM ET","Min","Shaun","Hill","Car",0,0,0,0,0,0,0,0,1,0,0
